Date,Observed,Forecast,Lower_CI,Upper_CI,Model
2024-07-31,11393.6664359598,11504.83765280343,,,Domestic
2024-08-31,11344.3675355176,11512.631188769032,,,Domestic
2024-09-30,11255.5255991664,11495.95348989459,,,Domestic
2024-10-31,11251.2707347308,11540.444645210486,,,Domestic
2024-11-30,11252.0364702257,11570.943738997219,,,Domestic
2024-12-31,11226.9936537048,11589.165254936845,,,Domestic
2025-01-31,11207.2651238869,11591.521665350414,,,Domestic
2025-02-28,11166.4338947548,11591.974550654884,,,Domestic
2025-03-31,11089.3779664736,11593.44008184148,,,Domestic
2025-04-30,11096.2714399885,11595.209440326496,,,Domestic
2025-05-31,11096.8866201393,11590.75584582929,,,Domestic
2025-06-30,11066.995144141,11591.808327163135,,,Domestic
2025-07-31,,11597.742813312878,,,Domestic
2025-08-31,,11589.810637936978,,,Domestic
2025-09-30,,11572.527326728075,,,Domestic
2025-10-31,,11598.214849030957,,,Domestic
2025-11-30,,11619.392069526975,,,Domestic
2025-12-31,,11594.657357687107,,,Domestic
2026-01-31,,11595.576767369372,,,Domestic
2026-02-28,,11595.54767358391,,,Domestic
2026-03-31,,11595.326155464953,,,Domestic
2026-04-30,,11595.240891949083,,,Domestic
2026-05-31,,11590.346383494121,,,Domestic
2026-06-30,,11588.98727096915,,,Domestic
