Date,Observed,Forecast,Lower_CI,Upper_CI,Model
2024-07-31,3740.9075360502,3704.0959468282513,,,International
2024-08-31,3741.455195755,3695.5339067201185,,,International
2024-09-30,3743.2103058446,3691.2381468341873,,,International
2024-10-31,3760.3109075163998,3690.4054822829025,,,International
2024-11-30,3785.8745485501,3688.9013949442788,,,International
2024-12-31,3849.5160798951,3684.7980556319144,,,International
2025-01-31,3901.0386292369,3657.8444008141482,,,International
2025-02-28,3898.6581136641,3629.890939208086,,,International
2025-03-31,3899.4425690165,3584.5164095849877,,,International
2025-04-30,3925.9998840269,3560.658556357774,,,International
2025-05-31,3948.0775396559,3558.976717651847,,,International
2025-06-30,3961.0921841239,3559.240377125818,,,International
2025-07-31,,3555.6271237179926,,,International
2025-08-31,,3554.321986772792,,,International
2025-09-30,,3553.7993379030154,,,International
2025-10-31,,3555.0466286946817,,,International
2025-11-30,,3554.0235752062013,,,International
2025-12-31,,3551.705417952047,,,International
2026-01-31,,3548.6047659852234,,,International
2026-02-28,,3548.1474147052513,,,International
2026-03-31,,3549.4564351918407,,,International
2026-04-30,,3549.8972711703664,,,International
2026-05-31,,3551.969882655713,,,International
2026-06-30,,3553.5860682495504,,,International
