Date,Observed,Forecast,Lower_CI,Upper_CI,Model
2024-07-31,11393.6664359598,11516.25767850828,11139.451052316033,11893.064304700527,Domestic
2024-08-31,11344.3675355176,11574.750240548461,10824.697493723523,12324.8029873734,Domestic
2024-09-30,11255.5255991664,11676.619176168631,10542.98913055413,12810.249221783133,Domestic
2024-10-31,11251.2707347308,11837.481921344532,10326.139328625031,13348.824514064032,Domestic
2024-11-30,11252.0364702257,11981.006313412916,10105.573773132972,13856.43885369286,Domestic
2024-12-31,11226.9936537048,12174.914997891352,9952.402602418615,14397.427393364089,Domestic
2025-01-31,11207.2651238869,12239.695485241733,9688.323568516962,14791.067401966504,Domestic
2025-02-28,11166.4338947548,12281.05807464717,9419.403622983184,15142.712526311156,Domestic
2025-03-31,11089.3779664736,12362.06683198922,9206.750503401196,15517.383160577243,Domestic
2025-04-30,11096.2714399885,12482.735662683594,9049.57036150412,15915.900963863067,Domestic
2025-05-31,11096.8866201393,12577.006691808056,8880.760001327726,16273.253382288385,Domestic
2025-06-30,11066.995144141,12690.644991765575,8745.001216262093,16636.288767269056,Domestic
2025-07-31,,12813.672429138858,8650.230668521122,16977.114189756594,Domestic
2025-08-31,,12929.621363634295,8570.679643653071,17288.563083615518,Domestic
2025-09-30,,13052.008574670564,8514.11868632196,17589.89846301917,Domestic
2025-10-31,,13166.152102125297,8461.961848100429,17870.342356150166,Domestic
2025-11-30,,13285.890114458509,8425.348058835149,18146.43217008187,Domestic
2025-12-31,,13424.572062362344,8415.765947252788,18433.3781774719,Domestic
2026-01-31,,13488.36482682401,8338.134941381528,18638.594712266495,Domestic
2026-02-28,,13548.117141402023,8262.675364415656,18833.55891838839,Domestic
2026-03-31,,13620.437213849118,8205.045570688582,19035.828857009656,Domestic
2026-04-30,,13688.891308849506,8148.243430945392,19229.53918675362,Domestic
2026-05-31,,13758.457401880258,8096.747769552362,19420.167034208152,Domestic
2026-06-30,,13830.228397722725,8051.246919070177,19609.209876375273,Domestic
