Date,Observed,Forecast,Lower_CI,Upper_CI,Model
2024-07-31,11393.6664359598,11420.124471301167,9192.427055360085,14187.624481759727,Domestic
2024-08-31,11344.3675355176,11299.24793552708,8329.702300549488,15327.311923469082,Domestic
2024-09-30,11255.5255991664,11168.53007354083,7706.745199975989,16185.10875514173,Domestic
2024-10-31,11251.2707347308,11034.046537604496,7209.59548820237,16886.960541724315,Domestic
2024-11-30,11252.0364702257,10865.843323981178,6773.377476332732,17430.606703422243,Domestic
2024-12-31,11226.9936537048,10737.897078867069,6420.867218539579,17957.002952407023,Domestic
2025-01-31,11207.2651238869,10425.305685101981,6005.179978120064,18098.33279309014,Domestic
2025-02-28,11166.4338947548,11015.627539647596,6131.201433808264,19790.60072567124,Domestic
2025-03-31,11089.3779664736,11377.209709733668,6134.907294089791,21098.350103183453,Domestic
2025-04-30,11096.2714399885,11513.658873764636,6028.247818938119,21989.698170127333,Domestic
2025-05-31,11096.8866201393,11512.409435037627,5863.975235536835,22600.731720130625,Domestic
2025-06-30,11066.995144141,11471.41785063087,5694.225964880995,23108.947199825292,Domestic
2025-07-31,,11420.124471301167,5485.579587337651,23773.75476524547,Domestic
2025-08-31,,11299.24793552708,5263.688884624538,24254.109124741928,Domestic
2025-09-30,,11168.53007354083,5055.568072202133,24671.54475413415,Domestic
2025-10-31,,11034.046537604496,4861.80574896869,25040.56208849646,Domestic
2025-11-30,,10865.843323981178,4667.648681083392,25292.889494497384,Domestic
2025-12-31,,10737.897078867069,4503.492295872537,25600.977513907805,Domestic
2026-01-31,,10425.305685101981,4274.5116921637755,25424.693593220978,Domestic
2026-02-28,,11015.627539647596,4419.938804071682,27451.55877225529,Domestic
2026-03-31,,11377.209709733668,4471.718046859042,28944.186090948242,Domestic
2026-04-30,,11513.658873764636,4436.88917662027,29875.223515824768,Domestic
2026-05-31,,11512.409435037627,4353.407125181649,30441.39847308344,Domestic
2026-06-30,,11471.41785063087,4260.185020149321,30886.26978929954,Domestic
