Date,Observed,Forecast,Lower_CI,Upper_CI,Model
2024-07-31,3740.9075360502,3760.9853595615414,2816.1884559472305,5022.637597150684,International
2024-08-31,3741.455195755,3769.418667972653,2510.336815856212,5659.752807842651,International
2024-09-30,3743.2103058446,3753.1928621090797,2288.686923124417,6154.410988100803,International
2024-10-31,3760.3109075163998,3729.4580124539093,2114.62133046667,6576.886497113294,International
2024-11-30,3785.8745485501,3714.4773470677333,1978.0552652404306,6974.435279164058,International
2024-12-31,3849.5160798951,3682.616328520904,1855.2638332860756,7308.860275478767,International
2025-01-31,3901.0386292369,3528.506217811338,1691.1594089002147,7360.844325095432,International
2025-02-28,3898.6581136641,3695.8420797313047,1692.1592221282108,8070.68114130095,International
2025-03-31,3899.4425690165,3709.160326143096,1627.9771909793476,8449.265431531618,International
2025-04-30,3925.9998840269,3760.600048914381,1586.9740728028814,8909.494932085132,International
2025-05-31,3948.0775396559,3758.54400735511,1528.952771352067,9237.305526744396,International
2025-06-30,3961.0921841239,3740.2773032737778,1470.044977043025,9514.110739936354,International
2025-07-31,,3760.9853595615414,1414.8320369932987,9994.91298669163,International
2025-08-31,,3769.418667972653,1361.215614299363,10434.981486754952,International
2025-09-30,,3753.1928621090797,1304.4488595961104,10795.259035586618,International
2025-10-31,,3729.4580124539093,1250.4098204332233,11119.511246958187,International
2025-11-30,,3714.4773470677333,1203.9161657697919,11456.03934327576,International
2025-12-31,,3682.616328520904,1156.0503786668223,11726.258817701908,International
2026-01-31,,3528.506217811338,1074.7005190544014,11579.745682376024,International
2026-02-28,,3695.8420797313047,1093.6870287081917,12483.519322933498,International
2026-03-31,,3709.160326143096,1067.8037259239147,12878.155743761094,International
2026-04-30,,3760.600048914381,1054.4848090186933,13404.815798664007,International
2026-05-31,,3758.54400735511,1027.68962568594,13738.976364411088,International
2026-06-30,,3740.2773032737778,998.3239137234093,14005.62554730539,International
