Date,Observed,Forecast,Lower_CI,Upper_CI,Model
2024-07-31,11393.6664359598,11387.455949310799,11045.741696414832,11729.170202206766,Domestic
2024-08-31,11344.3675355176,11276.027549879236,10656.704444834886,11895.350654923586,Domestic
2024-09-30,11255.5255991664,11155.640598256823,10306.8818003087,12004.399396204946,Domestic
2024-10-31,11251.2707347308,11037.322372824277,10009.067252524987,12065.577493123568,Domestic
2024-11-30,11252.0364702257,10927.937128627096,9765.98851859239,12089.885738661802,Domestic
2024-12-31,11226.9936537048,10831.6999123056,9574.845373701723,12088.554450909476,Domestic
2025-01-31,11207.2651238869,10750.857733633635,9429.412708740467,12072.302758526803,Domestic
2025-02-28,11166.4338947548,10686.160409030028,9321.758615290757,12050.562202769299,Domestic
2025-03-31,11089.3779664736,10637.260498291804,9243.658085948282,12030.862910635326,Domestic
2025-04-30,11096.2714399885,10603.05286766536,9187.613698781157,12018.492036549562,Domestic
2025-05-31,11096.8866201393,10581.952776408427,9147.4590597034,12016.446493113453,Domestic
2025-06-30,11066.995144141,10572.11604260176,9118.573725961021,12025.658359242498,Domestic
2025-07-31,,10571.607558213089,9097.785955773745,12045.429160652433,Domestic
2025-08-31,,10578.525226818902,9083.07956877919,12073.970884858612,Domestic
2025-09-30,,10591.086415955911,9073.2315919361,12108.941239975722,Domestic
2025-10-31,,10607.683685825396,9067.480970769571,12147.88640088122,Domestic
2025-11-30,,10626.916022105888,9065.282088739821,12188.549955471955,Domestic
2025-12-31,,10647.601141782989,9066.153689351304,12229.048594214673,Domestic
2026-01-31,,10668.773718995815,9069.607327528875,12267.940110462756,Domestic
2026-02-28,,10689.67364206908,9075.13001644956,12304.217267688598,Domestic
2026-03-31,,10709.72769978244,9082.19714563413,12337.258253930748,Domestic
2026-04-30,,10728.527430006397,9090.297694981553,12366.757165031242,Domestic
2026-05-31,,10745.805263317685,9098.960268546205,12392.650258089165,Domestic
2026-06-30,,10761.410566898616,9107.773779918754,12415.047353878477,Domestic
