Date,Observed,Forecast,Lower_CI,Upper_CI,Model
2024-07-31,3740.9075360502,3748.6196590553336,3628.722073503314,3868.5172446073534,International
2024-08-31,3741.455195755,3738.8957204669473,3462.648716585873,4015.1427243480216,International
2024-09-30,3743.2103058446,3713.4570835175155,3253.083925549353,4173.830241485678,International
2024-10-31,3760.3109075163998,3674.2873690430497,3016.9943958219546,4331.580342264145,International
2024-11-30,3785.8745485501,3623.5810522585207,2767.212141719595,4479.9499627974465,International
2024-12-31,3849.5160798951,3563.7362649545958,2513.680245639579,4613.7922842696125,International
2025-01-31,3901.0386292369,3497.185628624289,2264.1102224882898,4730.261034760289,International
2025-02-28,3898.6581136641,3426.2491167335575,2024.3076381368041,4828.19059533031,International
2025-03-31,3899.4425690165,3353.0357953021753,1798.4203652503,4907.65122535405,International
2025-04-30,3925.9998840269,3279.3860449256454,1589.178072020726,4969.594017830565,International
2025-05-31,3948.0775396559,3206.844245609822,1398.1288457426408,5015.559645477003,International
2025-06-30,3961.0921841239,3136.654091421444,1225.8667788352298,5047.441404007658,International
2025-07-31,,3069.770234612967,1072.243767123069,5067.296702102865,International
2025-08-31,,3006.8810616477986,936.5602526313032,5077.201870664294,International
2025-09-30,,2948.43836457852,817.7314967198163,5079.145232437224,International
2025-10-31,,2894.690548765801,714.4277866401208,5074.953310891481,International
2025-11-30,,2845.7168030513158,625.1885720495061,5066.245034053125,International
2025-12-31,,2801.4603405477037,548.511810579575,5054.408870515832,International
2026-01-31,,2761.759394554512,482.9207482278698,5040.598040881154,International
2026-02-28,,2726.375128213433,427.01097981742805,5025.739276609438,International
2026-03-31,,2695.0159956371995,379.48095435590767,5010.551036918491,International
2026-04-30,,2667.358385903806,339.1491497055795,4995.567622102032,International
2026-05-31,,2643.0636001995035,304.9609901603826,4981.166210238624,International
2026-06-30,,2621.791367587417,275.98827547161954,4967.594459703214,International
