Date,Total guest nights,International guest nights,Domestic guest nights
2025-07-31,9228073,2698853,6533217
2025-08-31,10114648,2827574,7233575
2025-09-30,10064811,2954345,7227313
2025-10-31,10858543,3120463,7496957
2025-11-30,12573585,3859683,8173895
2025-12-31,15239184,5155139,8339238
2026-01-31,17323627,6007728,11020880
2026-02-28,17495919,6470472,11423202
2026-03-31,16181250,6505055,9395841
2026-04-30,15923719,6317942,9185807
2026-05-31,12680375,4867205,8681132
2026-06-30,9616090,3399770,7176558
