Date,Forecast Total guest nights,Lower_CI Total guest nights,Upper_CI Total guest nights,Forecast International guest nights,Lower_CI International guest nights,Upper_CI International guest nights,Forecast Domestic guest nights,Lower_CI Domestic guest nights,Upper_CI Domestic guest nights
2025-07-31,10570788.65457196,0.0,inf,3275953.361078546,0.0,inf,7589166.038445848,0.0,inf
2025-08-31,9914947.78123922,0.0,inf,3226409.4147137003,0.0,inf,7214396.11590167,0.0,inf
2025-09-30,10732588.420976812,0.0,inf,3676209.14376572,0.0,inf,7912395.734677644,0.0,inf
2025-10-31,12431271.106585406,0.0,inf,4819651.475059757,0.0,inf,9034809.05768095,0.0,inf
2025-11-30,14112828.349521833,0.0,inf,7060394.5327137215,0.0,inf,9353871.771776062,0.0,inf
2025-12-31,17061307.634811345,0.0,inf,8710049.739691075,0.0,inf,11889253.95103421,0.0,inf
2026-01-31,21310951.300345175,0.0,inf,10473812.356222989,0.0,inf,15931187.934063543,0.0,inf
2026-02-28,17259753.7157388,0.0,inf,10815086.7432483,0.0,inf,11564024.044014538,0.0,inf
2026-03-31,17444893.285947032,0.0,inf,10963270.885908483,0.0,inf,12458622.872114293,0.0,inf
2026-04-30,14170998.662214635,0.0,inf,8742425.19735198,0.0,inf,10892563.545302298,0.0,inf
2026-05-31,10608250.956118725,0.0,inf,5976764.257794561,0.0,inf,8851385.093317078,0.0,inf
2026-06-30,9789262.035048144,0.0,inf,5288339.756730564,0.0,inf,8706173.59287279,0.0,inf
